Fecha_Hora_redondeada;Fecha;Hora;Temp;Temp. Amb. Dir (Â°C);Temp_amb;Presion;Humedad(HR);Latitud;Longitud;accel_x;accel_y;accel_z;podometro;pasos
11/01/2024 07:40;1/11/2024;07:40:00;38.13;31.53;31.37;98462.19;75.62;-12.591597;-69.194824;16;4032;509;0;0
11/01/2024 07:45;1/11/2024;07:45:01;37.92;31.77;31.9;98465.7;74.53;-12.590945;-69.195053;261;4029;429;277;277
11/01/2024 07:50;1/11/2024;07:50:00;38.15;31.87;31.83;98470.53;75.59;-12.590946;-69.195053;259;4027;421;277;0
11/01/2024 07:55;1/11/2024;07:55:00;38.04;31.89;31.8;98471.9;75.78;-12.590946;-69.195061;262;4023;427;277;0
11/01/2024 08:00;1/11/2024;08:00:01;38.06;31.87;31.77;98477.78;76;-12.590948;-69.195068;258;4027;424;277;0
11/01/2024 08:05;1/11/2024;08:05:00;38.07;31.95;31.86;98483.28;76.4;-12.590948;-69.195068;238;4026;448;277;0
11/01/2024 08:10;1/11/2024;08:10:01;37.75;32.63;32.26;98477.57;75.2;-12.590957;-69.195114;3937;3577;4010;295;18
11/01/2024 08:15;1/11/2024;08:15:00;37.91;34.39;33.81;98469.27;71.5;-12.590863;-69.19516;3878;4016;3645;295;0
11/01/2024 08:20;1/11/2024;08:20:00;38.09;34.53;34.43;98475.88;69.94;-12.590921;-69.195168;48;3952;3640;310;15
11/01/2024 08:25;1/11/2024;08:25:00;37.75;35.21;35.02;98473.03;69.27;-12.590934;-69.195168;4034;3833;3623;389;79
11/01/2024 08:30;1/11/2024;08:30:01;37.8;35.19;34.84;98471.26;69.17;-12.590921;-69.195045;13;3716;3703;389;0
11/01/2024 08:35;1/11/2024;08:35:01;38.08;35.79;35.79;98487.75;67.88;-12.59096;-69.195068;63;3874;3598;389;0
11/01/2024 08:40;1/11/2024;08:40:01;37.75;35.87;35.52;98469.17;68.15;-12.59098;-69.195107;3954;3799;3677;389;0
11/01/2024 08:45;1/11/2024;08:45:01;38.23;36.11;35.59;98482.89;67.88;-12.590959;-69.195084;3889;4018;3634;389;0
11/01/2024 08:50;1/11/2024;08:50:00;38.02;36.27;35.87;98486.19;69.17;-12.59096;-69.195152;4056;4002;3601;389;0
11/01/2024 08:55;1/11/2024;08:55:00;38;36.33;36.17;98479.27;67.35;-12.590968;-69.195122;3907;4015;3617;389;0
11/01/2024 09:00;1/11/2024;09:00:00;37.9;36.61;36.45;98477.97;66.3;-12.590961;-69.195114;3841;4009;3656;389;0
11/01/2024 09:05;1/11/2024;09:05:00;38.07;35.83;35.9;98475.7;67.69;-12.59092;-69.195107;4088;45;3585;389;0
11/01/2024 09:10;1/11/2024;09:10:01;37.86;36.23;36.04;98472.92;68.17;-12.59095;-69.195175;3787;3999;3707;389;0
11/01/2024 09:15;1/11/2024;09:15:01;37.79;36.65;36.64;98478.48;67.23;-12.590955;-69.195183;3824;56;3677;389;0
11/01/2024 09:20;1/11/2024;09:20:00;38.17;36.89;36.78;98484.49;67.02;-12.590993;-69.195198;3819;34;3670;389;0
11/01/2024 09:25;1/11/2024;09:25:00;37.97;36.97;36.91;98472.89;66.58;-12.590995;-69.195213;3796;26;3701;389;0
11/01/2024 09:30;1/11/2024;09:30:01;37.97;36.93;36.83;98474.45;66.58;-12.590959;-69.195229;3817;17;3669;389;0
11/01/2024 09:35;1/11/2024;09:35:00;37.95;36.61;36.8;98466.22;67.16;-12.590952;-69.195274;3811;76;3700;389;0
11/01/2024 09:40;1/11/2024;09:40:00;37.85;36.79;36.79;98465.42;67.37;-12.590945;-69.195183;3802;184;3756;403;14
11/01/2024 09:45;1/11/2024;09:45:01;37.84;37.01;36.98;98461.7;66.27;-12.590975;-69.195183;3815;192;3750;403;0
11/01/2024 09:50;1/11/2024;09:50:00;38.15;36.39;36.4;98460.19;66.99;-12.590905;-69.19516;75;175;3599;411;8
11/01/2024 09:55;1/11/2024;09:55:00;38.06;36.45;36.4;98451.35;69.65;-12.590941;-69.195068;3848;59;3612;434;23
11/01/2024 10:00;1/11/2024;10:00:00;38.29;36.37;36.28;98448.46;68.44;-12.59096;-69.195091;3989;4028;3595;434;0
11/01/2024 10:05;1/11/2024;10:05:00;38;36.41;36.53;98445.09;68.33;-12.590955;-69.195084;39;21;3595;434;0
11/01/2024 10:10;1/11/2024;10:10:01;38.08;36.47;36.48;98451.38;68.04;-12.59094;-69.195068;3734;4021;3744;445;11
11/01/2024 10:15;1/11/2024;10:15:00;38.02;37.01;37.07;98435.69;69.94;-12.590934;-69.195152;3789;4068;3702;455;10
11/01/2024 10:20;1/11/2024;10:20:00;37.7;37.27;37.36;98425.11;68.75;-12.590985;-69.195091;3886;3875;3639;455;0
11/01/2024 10:25;1/11/2024;10:25:00;38.22;37.07;37.19;98433.95;69.85;-12.591019;-69.195114;4089;4072;3574;519;64
11/01/2024 10:30;1/11/2024;10:30:00;38.1;37.45;37.29;98425.6;68.49;-12.59099;-69.195015;3975;3864;3640;528;9
11/01/2024 10:35;1/11/2024;10:35:00;37.91;37.47;37.21;98426.39;68.04;-12.590941;-69.195045;3897;3878;3646;528;0
11/01/2024 10:40;1/11/2024;10:40:01;38.27;37.33;37.17;98435.36;67.68;-12.590946;-69.195068;3848;3919;3677;528;0
11/01/2024 10:45;1/11/2024;10:45:00;38.19;37.47;37.29;98433.64;68.74;-12.590983;-69.195084;3804;3959;3690;528;0
11/01/2024 10:50;1/11/2024;10:50:00;37.97;37.21;37.19;98417.88;68.66;-12.591645;-69.19545;29;254;3505;856;328
11/01/2024 10:55;1/11/2024;10:55:00;37.84;36.53;36.73;98428.41;66.55;-12.590484;-69.193741;169;4006;3595;1267;398
11/01/2024 11:00;1/11/2024;11:00:00;37.91;36.23;36.18;98424.67;67.08;-12.590709;-69.193413;64;28;3803;1613;346
11/01/2024 11:05;1/11/2024;11:05:01;38.05;36.59;36.66;98420.05;68.42;-12.590795;-69.19323;4045;4017;3820;1947;334
11/01/2024 11:10;1/11/2024;11:10:01;37.97;36.99;37.05;98411.89;68.52;-12.590653;-69.193199;178;4073;3613;2242;295
11/01/2024 11:15;1/11/2024;11:15:01;37.9;37.29;37.32;98397.39;67.65;-12.590775;-69.19313;247;184;3717;2491;249
